job_id,title,description,created,company,region,soc_code,salary_min,salary_max,category,skills_required,source
ADZ-1000000,General Practitioner,"We are seeking a motivated General Practitioner to join our growing team in North West. The successful candidate will demonstrate proficiency in Clinical Diagnostics, Internal Medicine, Medical Research. We offer competitive salary and career progression.",2026-04-27,NHS Scotland,North West,2211,34215,38484,Healthcare,Clinical Diagnostics;Internal Medicine;Medical Research;Prescribing;Patient Care,scraped_mock
ADZ-1000001,Nursing Assistant,"We are seeking a motivated Nursing Assistant to join our growing team in East of England. The successful candidate will demonstrate proficiency in Vital Signs, Compassionate Care, Personal Care. We offer competitive salary and career progression.",2026-05-06,HCA Healthcare UK,East of England,6141,35595,40468,Healthcare,Vital Signs;Compassionate Care;Personal Care;Infection Control;Patient Mobility,scraped_mock
ADZ-1000002,Junior Full Stack Developer,"We are seeking a motivated Junior Full Stack Developer to join our growing team in Scotland. The successful candidate will demonstrate proficiency in APIs, SQL, Java. We offer competitive salary and career progression.",2026-06-03,Arup Digital,Scotland,2136,30583,34755,Tech,APIs;SQL;Java,scraped_mock
ADZ-1000003,Care Auxiliary,"We are seeking a motivated Care Auxiliary to join our growing team in South East. The successful candidate will demonstrate proficiency in Personal Care, Infection Control, Patient Mobility. We offer competitive salary and career progression.",2026-04-26,HCA Healthcare UK,South East,6141,34439,38417,Healthcare,Personal Care;Infection Control;Patient Mobility;Vital Signs,scraped_mock
ADZ-1000004,Senior Pharmacist,"We are seeking a motivated Senior Pharmacist to join our growing team in Scotland. The successful candidate will demonstrate proficiency in Patient Counselling, Prescription Auditing, Medicines Management. We offer competitive salary and career progression.",2026-05-06,NHS Scotland,Scotland,2237,54524,61557,Healthcare,Patient Counselling;Prescription Auditing;Medicines Management;Clinical Pharmacy,scraped_mock
ADZ-1000005,IT Architect,"We are seeking a motivated IT Architect to join our growing team in Scotland. The successful candidate will demonstrate proficiency in System Architecture, Requirements Gathering, Jira. We offer competitive salary and career progression.",2026-05-26,BAE Systems,Scotland,2135,45015,50160,Tech,System Architecture;Requirements Gathering;Jira;TOGAF,scraped_mock
ADZ-1000006,Senior UX/UI Web Developer,"We are seeking a motivated Senior UX/UI Web Developer to join our growing team in Scotland. The successful candidate will demonstrate proficiency in HTML, Web Content, WordPress. We offer competitive salary and career progression.",2026-05-03,Direct Line Tech,Scotland,2137,96567,104152,Tech,HTML;Web Content;WordPress;CSS;UI/UX;Responsive Design,scraped_mock
ADZ-1000007,Junior Cardiac Physiologist,"We are seeking a motivated Junior Cardiac Physiologist to join our growing team in South West. The successful candidate will demonstrate proficiency in Pathology, X-Ray, Laboratory Testing. We offer competitive salary and career progression.",2026-07-12,Spire Healthcare,South West,3211,26513,30046,Healthcare,Pathology;X-Ray;Laboratory Testing,scraped_mock
ADZ-1000008,Lead Infrastructure Project Engineer,"We are seeking a motivated Lead Infrastructure Project Engineer to join our growing team in London. The successful candidate will demonstrate proficiency in Civil Engineering, AutoCAD, Project Management. We offer competitive salary and career progression.",2026-06-19,Babcock International,London,2121,99644,106258,Green Energy,Civil Engineering;AutoCAD;Project Management;Structural Analysis,scraped_mock
ADZ-1000009,Senior Healthcare Assistant,"We are seeking a motivated Senior Healthcare Assistant to join our growing team in West Midlands. The successful candidate will demonstrate proficiency in Infection Control, Personal Care, Compassionate Care. We offer competitive salary and career progression.",2026-07-01,Barchester Healthcare,West Midlands,6141,86317,96542,Healthcare,Infection Control;Personal Care;Compassionate Care;Patient Mobility;Vital Signs,scraped_mock
ADZ-1000010,Developer,"We are seeking a motivated Developer to join our growing team in South East. The successful candidate will demonstrate proficiency in React, Node.js, SQL. We offer competitive salary and career progression.",2026-06-23,Ocado Technology,South East,2136,79381,89462,Tech,React;Node.js;SQL;JavaScript,scraped_mock
ADZ-1000011,Product Development Engineer - Battery Storage,"We are seeking a motivated Product Development Engineer - Battery Storage to join our growing team in Scotland. The successful candidate will demonstrate proficiency in Product Design, SolidWorks, Renewable Design. We offer competitive salary and career progression.",2026-06-21,ScottishPower Renewables,Scotland,2126,50410,54859,Green Energy,Product Design;SolidWorks;Renewable Design;Prototyping;Battery Chemistry,scraped_mock
ADZ-1000012,Helpdesk Engineer,"We are seeking a motivated Helpdesk Engineer to join our growing team in South East. The successful candidate will demonstrate proficiency in Networking, Windows Server, ITIL. We offer competitive salary and career progression.",2026-05-28,TechSpark UK,South East,3131,49555,56576,Tech,Networking;Windows Server;ITIL,scraped_mock
ADZ-1000013,Principal Radiographer,"We are seeking a motivated Principal Radiographer to join our growing team in South West. The successful candidate will demonstrate proficiency in X-Ray, Laboratory Testing, MRI. We offer competitive salary and career progression.",2026-04-28,HCA Healthcare UK,South West,3211,37650,40007,Healthcare,X-Ray;Laboratory Testing;MRI;Pathology;Medical Imaging,scraped_mock
ADZ-1000014,Lead General Practitioner,"We are seeking a motivated Lead General Practitioner to join our growing team in South East. The successful candidate will demonstrate proficiency in Patient Care, Prescribing, Internal Medicine. We offer competitive salary and career progression.",2026-05-03,Bupa UK,South East,2211,72228,80326,Healthcare,Patient Care;Prescribing;Internal Medicine;Clinical Diagnostics;Medical Research,scraped_mock
ADZ-1000015,Junior Biomass Boiler Operator,"We are seeking a motivated Junior Biomass Boiler Operator to join our growing team in South East. The successful candidate will demonstrate proficiency in Plant Operations, SCADA, Boiler Control. We offer competitive salary and career progression.",2026-05-13,SSE Renewables,South East,8124,36184,40119,Green Energy,Plant Operations;SCADA;Boiler Control;Equipment Maintenance;Health & Safety,scraped_mock
